,City,Latitude,Longitude,Temperature F,Humidity %,Cloudiness %,Wind Speed MPH
0,port alfred,-33.5906,26.891,72,84,9,4
1,khatanga,71.9667,102.5,-41.6,80,34,7.4
2,busselton,-33.65,115.3333,61.88,84,0,1.99
3,kiruna,67.8557,20.2251,15.8,92,90,11.5
4,cockburn town,21.4612,-71.1419,74.62,73,84,21
5,mataura,-46.1927,168.8643,65.28,55,59,2.17
6,waddan,29.1614,16.139,62.98,27,25,8.05
7,takaka,-40.85,172.8,61,88,0,1.01
8,kodiak,57.79,-152.4072,30.2,40,1,9.01
9,burpengary,-27.1575,152.9576,72.88,96,3,7.47
10,rikitea,-23.1203,-134.9692,78.94,63,44,8.01
11,punta arenas,-53.15,-70.9167,57.09,54,0,28.77
12,klaksvik,62.2266,-6.589,23,86,20,5.75
13,semnan,35.5729,53.3971,40.91,59,89,0.43
14,vaini,-21.2,-175.2,75.2,94,90,11.5
15,mar del plata,-38.0023,-57.5575,64.13,68,90,16.11
16,santa lucia,27.9117,-15.5407,65.21,77,20,24.16
17,yar-sale,66.8333,70.8333,-9.35,90,97,7.2
18,nelson bay,-32.7167,152.15,69.4,94,90,3.44
19,baragaon,25.4333,82.8167,46.54,62,0,0.02
21,saint-leu,-21.15,55.2833,73.96,69,0,6.91
22,puerto ayora,-0.7393,-90.3518,83.5,66,0,10.36
23,lorengau,-2.0226,147.2712,82.62,81,95,8.28
24,arraial do cabo,-22.9661,-42.0278,82.15,69,40,19.57
25,shimoda,34.6667,138.95,37.99,64,31,9.69
26,ushuaia,-54.8,-68.3,55.4,54,75,3.44
27,fenoarivo,-18.933,47.4354,68,88,75,8.05
28,novichikha,52.204,81.3877,4.48,94,100,6.13
29,laguna,38.421,-121.4238,61.52,48,1,6.91
30,canandaigua,42.8742,-77.288,22.44,69,100,1.99
31,tuktoyaktuk,69.4541,-133.0374,-25.6,75,75,2.3
32,ust-nera,64.5667,143.2,-32.24,74,100,7.61
34,newcastle,-32.9272,151.7765,71.78,94,90,3.44
35,grand gaube,-20.0064,57.6608,81,73,45,11.01
36,qaanaaq,77.484,-69.3632,-3.73,89,100,0.98
37,rio grande,-32.035,-52.0986,80.65,74,75,11.5
38,walvis bay,-22.9575,14.5053,65.59,77,0,4.61
39,albury,-36.0833,146.9167,62.87,82,0,2.3
40,severo-kurilsk,50.6789,156.125,22.69,92,88,41.79
41,kaitangata,-46.2817,169.8464,58.37,76,97,2.75
42,renqiu,38.6989,116.0936,29.75,80,0,4.07
43,provideniya,64.3833,-173.3,-5.24,88,100,24.94
44,rosario,-32.9468,-60.6393,67.93,88,90,10.36
45,kavieng,-2.5744,150.7967,83.37,80,100,9.64
46,longyearbyen,78.2186,15.6401,-0.4,42,0,14.97
48,atuona,-9.8,-139.0333,78.64,76,92,18.86
